# master lattice 33^3: u=linspace(-2.0,1.0,33)  w=linspace(0.0,0.4,33)  z=linspace(-2.0,-12.0,33)
# y is the degenerate inclination axis, y == 1.0 everywhere (apex_of_uwyz ignores it and sets x = 1)
# sub-grid shape 17 x 17 x 1 x 9 in (u,w,y,z); rows are in ij order over (iu,iw,iz)
# spin p0 e0 inclination pos Edot_tot Ldot_tot Qdot_tot Edot_hor Edot_inf Ldot_hor Ldot_inf Qdot_hor Qdot_inf elapsed  iu iw iz  u w y z
9.8999999999999999e-01 1.4644979380596717e+00 0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00 9.0613976005710167e-02 2.5030147327002439e-01 0.0000000000000000e+00 -8.6018972595256291e-03 9.9215873265235829e-02 -2.3760877205531435e-02 2.7406235047555599e-01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0 0 0 -2.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -2.0000000000000000e+00
9.9943765867480960e-01 1.1565914451765584e+00 0.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+01 7.6799362485009098e-02 1.7228349164327389e-01 0.0000000000000000e+00 -1.0335946257863545e-02 8.7135308742872633e-02 -2.3186558496361899e-02 1.9547005013963559e-01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0 0 4 -2.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -3.2500000000000000e+00
9.9996837722339826e-01 1.0624329325129551e+00 0.0000000000000000e+00 1.0000000000000000e+00 2.0000000000000000e+00 4.2178692526195403e-02 8.8367086146454055e-02 0.0000000000000000e+00 -6.3222398081143015e-03 4.8500932334309632e-02 -1.3245500898711035e-02 1.0161258704516501e-01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0 0 8 -2.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -4.5000000000000000e+00
9.9999822172058994e-01 1.0295571079874997e+00 0.0000000000000000e+00 1.0000000000000000e+00 1.2000000000000000e+01 2.2473797410786152e-02 4.5951272275700186e-02 0.0000000000000000e+00 -3.4945074886365644e-03 2.5968304899422721e-02 -7.1450793181371403e-03 5.3096351593837250e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0 0 12 -2.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -5.7500000000000000e+00
9.9999990000000005e-01 1.0174156592379600e+00 0.0000000000000000e+00 1.0000000000000000e+00 2.2000000000000000e+01 1.3855031153011751e-02 2.8073573991510937e-02 0.0000000000000000e+00 -2.1800916607228361e-03 1.6035122813734617e-02 -4.4173819509799022e-03 3.2490955942490830e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0 0 16 -2.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -7.0000000000000000e+00
9.9999999437658671e-01 1.0128298202864812e+00 0.0000000000000000e+00 1.0000000000000000e+00 3.2000000000000000e+01 1.0387846366900259e-02 2.0976243820445186e-02 0.0000000000000000e+00 -1.6405025253163179e-03 1.2028348892216571e-02 -3.3126771174379179e-03 2.4288920937883048e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0 0 20 -2.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -8.2500000000000000e+00
9.9999999968377229e-01 1.0110825074414387e+00 0.0000000000000000e+00 1.0000000000000000e+00 6.0000000000000000e+00 9.0343321643089041e-03 1.8219264245946443e-02 0.0000000000000000e+00 -1.4284597869935747e-03 1.0462791951302482e-02 -2.8807316191849534e-03 2.1099995865131380e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0 0 24 -2.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -9.5000000000000000e+00
9.9999999998221722e-01 1.0104144861318325e+00 0.0000000000000000e+00 1.0000000000000000e+00 1.6000000000000000e+01 8.5119696403706691e-03 1.7157256574597858e-02 0.0000000000000000e+00 -1.3464523840041110e-03 9.8584220243747873e-03 -2.7139933521698380e-03 1.9871249926767705e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0 0 28 -2.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -1.0750000000000000e+01
9.9999999999900002e-01 1.0101587508012511e+00 0.0000000000000000e+00 1.0000000000000000e+00 3.5000000000000000e+01 8.3112662784240333e-03 1.6749501785447762e-02 0.0000000000000000e+00 -1.3149209252994690e-03 9.6261872037234977e-03 -2.6499295833176330e-03 1.9399431368765388e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0 0 32 -2.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -1.2000000000000000e+01
9.8999999999999999e-01 1.4775086757377576e+00 2.5000000000000001e-02 1.0000000000000000e+00 0.0000000000000000e+00 8.9843728960426125e-02 2.4922695959124733e-01 7.9470234020947891e-16 -8.5097187459463701e-03 9.8353447706372138e-02 -2.3605182803873748e-02 2.7283214239511766e-01 -7.5269185995137271e-17 8.6997152620462002e-16 3.2964088572934270e+02 0 2 0 -2.0000000000000000e+00 2.5000000000000001e-02 1.0000000000000000e+00 -2.0000000000000000e+00
9.9943765867480960e-01 1.1681776369493702e+00 2.5000000000000001e-02 1.0000000000000000e+00 1.0000000000000000e+00 7.7539484200196643e-02 1.7479409461276832e-01 -1.5524834272608274e-16 -1.0405061591244521e-02 8.7944545791439940e-02 -2.3457201536138252e-02 1.9825129614890480e-01 2.0834180190954623e-17 -1.7608252291703579e-16 1.0338006897736341e+03 0 2 4 -2.0000000000000000e+00 2.5000000000000001e-02 1.0000000000000000e+00 -3.2500000000000000e+00
9.9996837722339826e-01 1.0756604102393881e+00 2.5000000000000001e-02 1.0000000000000000e+00 2.0000000000000000e+00 4.4242001923316454e-02 9.3278800700373046e-02 1.1551328763129979e-16 -6.5889734027872729e-03 5.0830975326102819e-02 -1.3893271320037677e-02 1.0717207202040990e-01 -1.7205343601367528e-17 1.3271863123266667e-16 2.7775178349409252e+03 0 2 8 -2.0000000000000000e+00 2.5000000000000001e-02 1.0000000000000000e+00 -4.5000000000000000e+00
9.9999822172058994e-01 1.0463280980335166e+00 2.5000000000000001e-02 1.0000000000000000e+00 3.0000000000000000e+00 2.5598609128149472e-02 5.2798382141890962e-02 3.5170787710132016e-17 -3.9349270519912355e-03 2.9533536180140468e-02 -8.1167614369128394e-03 6.0915143578803614e-02 -5.4068492595903398e-18 4.0577636969720364e-17 7.5585212786551565e+03 0 2 12 -2.0000000000000000e+00 2.5000000000000001e-02 1.0000000000000000e+00 -5.7500000000000000e+00
9.9999990000000005e-01 1.0378643208717544e+00 2.5000000000000001e-02 1.0000000000000000e+00 4.0000000000000000e+00 1.8389949983006571e-02 3.7676708369821871e-02 5.0593721884549113e-17 -2.8488587927922044e-03 2.1238808775797188e-02 -5.8372221555350974e-03 4.3513930525353926e-02 -7.8386945985520417e-18 5.8432416483097862e-17 1.5685844585003331e+04 0 2 16 -2.0000000000000000e+00 2.5000000000000001e-02 1.0000000000000000e+00 -7.0000000000000000e+00
9.9999999437658671e-01 1.0356918405750748e+00 2.5000000000000001e-02 1.0000000000000000e+00 5.0000000000000000e+00 1.6219439494970251e-02 3.3168031583979289e-02 2.5857690842056128e-17 -2.5167843553764503e-03 1.8736223850344950e-02 -5.1472407201010864e-03 3.8315272304075242e-02 -4.0128297407242588e-18 2.9870520582777204e-17 2.0577094496915117e+04 0 2 20 -2.0000000000000000e+00 2.5000000000000001e-02 1.0000000000000000e+00 -8.2500000000000000e+00
9.9999999968377229e-01 1.0351648168897436e+00 2.5000000000000001e-02 1.0000000000000000e+00 6.0000000000000000e+00 1.5658875172771928e-02 3.2006522609660221e-02 -3.9317223421274818e-17 -2.4307450828907934e-03 1.8089620255660781e-02 -4.9689323188690081e-03 3.6975454928523152e-02 6.1040708006858498e-18 -4.5421294221956555e-17 2.4713499761562794e+04 0 2 24 -2.0000000000000000e+00 2.5000000000000001e-02 1.0000000000000000e+00 -9.5000000000000000e+00
9.9999999998221722e-01 1.0350391274764017e+00 2.5000000000000001e-02 1.0000000000000000e+00 7.0000000000000000e+00 1.5522738168746443e-02 3.1724604781131642e-02 -3.1473052797190270e-17 -2.4098513949044366e-03 1.7932589563649438e-02 -4.9256679096905294e-03 3.6650272690816547e-02 4.8864374577262328e-18 -3.6359490254911077e-17 2.5787378543246537e+04 0 2 28 -2.0000000000000000e+00 2.5000000000000001e-02 1.0000000000000000e+00 -1.0750000000000000e+01
9.9999999999900002e-01 1.0350092817936694e+00 2.5000000000000001e-02 1.0000000000000000e+00 8.0000000000000000e+00 1.5490270353125698e-02 3.1657389280475311e-02 1.0468883456482138e-17 -2.4048551998320854e-03 1.7895125552956220e-02 -4.9153135804162838e-03 3.6572702860885806e-02 -1.6254039847949287e-18 1.2094287441276208e-17 2.8057449439072981e+04 0 2 32 -2.0000000000000000e+00 2.5000000000000001e-02 1.0000000000000000e+00 -1.2000000000000000e+01
9.8999999999999999e-01 1.4921609417311477e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.1000000000000000e+01 8.9530850077092564e-02 2.4863353313081385e-01 7.3758039249086802e-16 -8.4443604153556003e-03 9.7975210492447826e-02 -2.3447158288943826e-02 2.7208069141975599e-01 -6.9557119657753193e-17 8.0713751214861630e-16 4.1337902923487127e+02 0 4 0 -2.0000000000000000e+00 5.0000000000000003e-02 1.0000000000000000e+00 -2.0000000000000000e+00
9.9943765867480960e-01 1.1830960219239581e+00 5.0000000000000003e-02 1.0000000000000000e+00 1.1800000000000000e+02 7.7215957842133046e-02 1.7469046128093574e-01 2.9316720882141020e-16 -1.0275527775015034e-02 8.7491485617147577e-02 -2.3252184786813148e-02 1.9794264606774645e-01 -3.9022551971854721e-17 3.3218976079326031e-16 1.4545149158108979e+03 0 4 4 -2.0000000000000000e+00 5.0000000000000003e-02 1.0000000000000000e+00 -3.2500000000000000e+00
9.9996837722339826e-01 1.0943161879196925e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.3000000000000000e+01 4.4224786015823185e-02 9.3870317547783202e-02 1.2506038544450977e-16 -6.4946870197415858e-03 5.0719473035564240e-02 -1.3789823687528496e-02 1.0766014123531012e-01 -1.8371735716097856e-17 1.4343212116060607e-16 4.4201116684293374e+03 0 4 8 -2.0000000000000000e+00 5.0000000000000003e-02 1.0000000000000000e+00 -4.5000000000000000e+00
9.9999822172058994e-01 1.0687877138219188e+00 5.0000000000000003e-02 1.0000000000000000e+00 9.3000000000000000e+01 2.6369553632142165e-02 5.4895932317750487e-02 8.4846507857512971e-17 -3.9777584300062568e-03 3.0347312062147514e-02 -8.2837050011862669e-03 6.3179637318932544e-02 -1.2802591623980811e-17 9.7649099481488317e-17 1.1018306866283529e+04 0 4 12 -2.0000000000000000e+00 5.0000000000000003e-02 1.0000000000000000e+00 -5.7500000000000000e+00
9.9999990000000005e-01 1.0621344612305568e+00 5.0000000000000003e-02 1.0000000000000000e+00 1.0300000000000000e+02 1.9854236607258480e-02 4.1096214185234778e-02 -4.5625963213372668e-17 -3.0139772555915910e-03 2.2868213862846737e-02 -6.2414580139885309e-03 4.7337672199216793e-02 6.9294103943614427e-18 -5.2555373607728497e-17 2.1263132293377072e+04 0 4 16 -2.0000000000000000e+00 5.0000000000000003e-02 1.0000000000000000e+00 -7.0000000000000000e+00
9.9999999437658671e-01 1.0605092887320520e+00 5.0000000000000003e-02 1.0000000000000000e+00 1.1300000000000000e+02 1.7970048481881943e-02 3.7134600699094363e-02 -3.3512617185102021e-17 -2.7336501793215743e-03 2.0703698661200271e-02 -5.6527931999356745e-03 4.2787393899023078e-02 5.1030643005329816e-18 -3.8615681485629616e-17 3.0495469798309729e+04 0 4 20 -2.0000000000000000e+00 5.0000000000000003e-02 1.0000000000000000e+00 -8.2500000000000000e+00
9.9999999968377229e-01 1.0601209515482355e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.7000000000000000e+01 1.7491275759918698e-02 3.6129075189278215e-02 3.6482067113021646e-17 -2.6629380719774168e-03 2.0154213831892930e-02 -5.5052074737813898e-03 4.1634282663053003e-02 -5.5605366148805961e-18 4.2042603727895718e-17 3.1125322633385658e+04 0 4 24 -2.0000000000000000e+00 5.0000000000000003e-02 1.0000000000000000e+00 -9.5000000000000000e+00
9.9999999998221722e-01 1.0600286922811970e+00 5.0000000000000003e-02 1.0000000000000000e+00 9.7000000000000000e+01 1.7375909174433393e-02 3.5887118547152264e-02 -5.5779787417900748e-17 -2.6457286839138058e-03 2.0021637858344404e-02 -5.4690679173565043e-03 4.1356186464500788e-02 8.5006391751227255e-18 -6.4280426593012095e-17 3.3621704427618533e+04 0 4 28 -2.0000000000000000e+00 5.0000000000000003e-02 1.0000000000000000e+00 -1.0750000000000000e+01
9.9999999999900002e-01 1.0600068037433277e+00 5.0000000000000003e-02 1.0000000000000000e+00 1.0700000000000000e+02 1.7348321677657926e-02 3.5829186352557621e-02 1.5408404932111642e-17 -2.6417111290154413e-03 1.9990032806670246e-02 -5.4607099701021742e-03 4.1289896322653195e-02 -2.3463108158731690e-18 1.7754715747982038e-17 3.5696603720108978e+04 0 4 32 -2.0000000000000000e+00 5.0000000000000003e-02 1.0000000000000000e+00 -1.2000000000000000e+01
9.8999999999999999e-01 1.5082603608747700e+00 7.5000000000000011e-02 1.0000000000000000e+00 9.0000000000000000e+00 8.9390385020551091e-02 2.4817402924159185e-01 5.7534594938435955e-16 -8.3801897838320458e-03 9.7770574804382657e-02 -2.3257910499254689e-02 2.7143193974084356e-01 -5.3921745652690099e-17 6.2926769503704381e-16 5.0994362002518028e+02 0 6 0 -2.0000000000000000e+00 7.5000000000000011e-02 1.0000000000000000e+00 -2.0000000000000000e+00
9.9943765867480960e-01 1.2004385037427914e+00 7.5000000000000011e-02 1.0000000000000000e+00 1.0000000000000000e+01 7.6457027330753519e-02 1.7353123138271190e-01 -1.5412669485811383e-16 -1.0051963967661651e-02 8.6508991298413176e-02 -2.2824381445732761e-02 1.9635561282843936e-01 2.0272123043103783e-17 -1.7439881790121291e-16 2.0237621351974085e+03 0 6 4 -2.0000000000000000e+00 7.5000000000000011e-02 1.0000000000000000e+00 -3.2500000000000000e+00
9.9996837722339826e-01 1.1154922201236586e+00 7.5000000000000011e-02 1.0000000000000000e+00 1.1000000000000000e+01 4.3622424903820886e-02 9.3199582772506354e-02 1.1008340432257981e-17 -6.2924351583906720e-03 4.9914860062210478e-02 -1.3452237669431310e-02 1.0665182044193572e-01 -1.5897955199052639e-18 1.2598135952162957e-17 6.0557363796299323e+03 0 6 8 -2.0000000000000000e+00 7.5000000000000011e-02 1.0000000000000000e+00 -4.5000000000000000e+00
9.9999822172058994e-01 1.0925512115013372e+00 7.5000000000000011e-02 1.0000000000000000e+00 1.2000000000000000e+01 2.6475720880333672e-02 5.5574316278412465e-02 -4.9942303544135390e-17 -3.9100873694588104e-03 3.0385808249790525e-02 -8.2132277131210241e-03 6.3787543991527335e-02 7.3820869032488496e-18 -5.7324390447378006e-17 1.5492344679104164e+04 0 6 12 -2.0000000000000000e+00 7.5000000000000011e-02 1.0000000000000000e+00 -5.7500000000000000e+00
