# master lattice 33^3: u=linspace(-2.0,1.0,33)  w=linspace(0.0,0.4,33)  z=linspace(-2.0,-12.0,33)
# y is the degenerate inclination axis, y == 1.0 everywhere (apex_of_uwyz ignores it and sets x = 1)
# sub-grid shape 15 x 9 x 1 x 9 in (u,w,y,z); rows are in ij order over (iu,iw,iz)
# spin p0 e0 inclination pos Edot_tot Ldot_tot Qdot_tot Edot_hor Edot_inf Ldot_hor Ldot_inf Qdot_hor Qdot_inf elapsed  iu iw iz  u w y z
9.8999999999999999e-01 1.4782116751162881e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.5600000000000000e+02 8.9075662572639464e-02 2.4827483183254995e-01 0.0000000000000000e+00 -8.4396520179235695e-03 9.7515314590562951e-02 -2.3523296094109847e-02 2.7179812792666014e-01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 4 0 0 -1.6250000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -2.0000000000000000e+00
9.9943765867480960e-01 1.1703051822331749e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.3000000000000000e+02 7.9212676992113179e-02 1.7945484211104720e-01 0.0000000000000000e+00 -1.0658518395734904e-02 8.9871195387848241e-02 -2.4146674604050303e-02 2.0360151671509755e-01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 4 0 4 -1.6250000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -3.2500000000000000e+00
9.9996837722339826e-01 1.0761466695695716e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.7600000000000000e+02 4.8721372193454453e-02 1.0311078974795765e-01 0.0000000000000000e+00 -7.2828705526460334e-03 5.6004242746100483e-02 -1.5413000506918451e-02 1.1852379025487597e-01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 4 0 8 -1.6250000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -4.5000000000000000e+00
9.9999822172058994e-01 1.0432708450441162e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.3200000000000000e+02 3.1178634637989082e-02 6.4402638944131688e-02 0.0000000000000000e+00 -4.8170117094921599e-03 3.5995646347481203e-02 -9.9500273029302384e-03 7.4352666247061938e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 4 0 12 -1.6250000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -5.7500000000000000e+00
9.9999990000000005e-01 1.0311293962945765e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.4200000000000000e+02 2.3478429960600993e-02 4.8061649663665502e-02 0.0000000000000000e+00 -3.6635350394256831e-03 2.7141965000026639e-02 -7.4994596270241106e-03 5.5561109290689650e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 4 0 16 -1.6250000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -7.0000000000000000e+00
9.9999999437658671e-01 1.0265435573430977e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.5200000000000000e+02 2.0375245578570643e-02 4.1567098057051270e-02 0.0000000000000000e+00 -3.1895024470948697e-03 2.3564748025665536e-02 -6.5068349954532376e-03 4.8073933052504507e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 4 0 20 -1.6250000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -8.2500000000000000e+00
9.9999999968377229e-01 1.0247962444980552e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.6200000000000000e+02 1.9162962181745482e-02 3.9043078915633841e-02 0.0000000000000000e+00 -3.0031852909206667e-03 2.2166147472666153e-02 -6.1187617655156278e-03 4.5161840681149451e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 4 0 24 -1.6250000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -9.5000000000000000e+00
9.9999999998221722e-01 1.0241282231884490e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.3600000000000000e+02 1.8694999809514740e-02 3.8070680428153099e-02 0.0000000000000000e+00 -2.9311189936465391e-03 2.1626118803161284e-02 -5.9689593817066440e-03 4.4039639809859685e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 4 0 28 -1.6250000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -1.0750000000000000e+01
9.9999999999900002e-01 1.0238724878578676e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.5500000000000000e+02 1.8515186199960530e-02 3.7697319029016345e-02 0.0000000000000000e+00 -2.9034080016478946e-03 2.1418594201608406e-02 -5.9114014046346801e-03 4.3608720433650973e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 4 0 32 -1.6250000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00 -1.2000000000000000e+01
9.8999999999999999e-01 1.5058746787877642e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.3700000000000000e+02 8.7417979203119930e-02 2.4579049890264662e-01 -5.8232071966503522e-17 -8.2176267683293520e-03 9.5635605971449419e-02 -2.3101326255325759e-02 2.6889182515797083e-01 5.4740390675851833e-18 -6.3706111034088303e-17 3.3286922054830939e+02 4 4 0 -1.6250000000000000e+00 5.0000000000000003e-02 1.0000000000000000e+00 -2.0000000000000000e+00
